PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
PAOLO BANCHERO,Orlando Magic,Duke,2022,1,1,1
CHET HOLMGREN,Oklahoma City Thunder,Gonzaga,2022,1,2,2
JABARI SMITH JR.,Houston Rockets,Auburn,2022,1,3,3
KEEGAN MURRAY,Sacramento Kings,Iowa,2022,1,4,4
JADEN IVEY,Detroit Pistons,Purdue,2022,1,5,5
BENNEDICT MATHURIN,Indiana Pacers,Arizona,2022,1,6,6
SHAEDON SHARPE,Portland Trail Blazers,Kentucky,2022,1,7,7
DYSON DANIELS,New Orleans Pelicans,Ignite (G League),2022,1,8,8
JEREMY SOCHAN,San Antonio Spurs,Baylor,2022,1,9,9
JOHNNY DAVIS,Washington Wizards,Wisconsin,2022,1,10,10
OUSMANE DIENG,New York Knicks,Breakers (New Zealand),2022,1,11,11
JALEN WILLIAMS,Oklahoma City Thunder,Santa Clara,2022,1,12,12
JALEN DUREN,Charlotte Hornets,Memphis,2022,1,13,13
OCHAI AGBAJI,Cleveland Cavaliers,Kansas,2022,1,14,14
MARK WILLIAMS,Charlotte Hornets,Duke,2022,1,15,15
AJ GRIFFIN,Atlanta Hawks,Duke,2022,1,16,16
TARI EASON,Houston Rockets,Louisiana State,2022,1,17,17
DALEN TERRY,Chicago Bulls,Arizona State,2022,1,18,18
JAKE LARAVIA,Minnesota Timberwolves,Wake Forest,2022,1,19,19
MALAKI BRANHAM,San Antonio Spurs,Ohio State,2022,1,20,20
CHRISTIAN BRAUN,Denver Nuggets,Kansas,2022,1,21,21
WALKER KESSLER,Memphis Grizzlies,Auburn,2022,1,22,22
DAVID RODDY,Philadelphia 76ers,Colorado State,2022,1,23,23
MARJON BEAUCHAMP,Milwaukee Bucks,Ignite (G League),2022,1,24,24
BLAKE WESLEY,San Antonio Spurs,Notre Dame,2022,1,25,25
WENDELL MOORE JR.,Dallas Mavericks,Duke,2022,1,26,26
NIKOLA JOVIĆ,Miami Heat,KK Mega Leks (Serbia),2022,1,27,27
PATRICK BALDWIN JR.,Golden State Warriors,Wisconsin-Milwaukee,2022,1,28,28
TYTY WASHINGTON JR.,Memphis Grizzlies,Kentucky,2022,1,29,29
PEYTON WATSON,Oklahoma City Thunder,California-Los Angeles,2022,1,30,30
ANDREW NEMBHARD,Indiana Pacers,Gonzaga,2022,2,1,31
CALEB HOUSTAN,Orlando Magic,Michigan,2022,2,2,32
CHRISTIAN KOLOKO,Toronto Raptors,Arizona,2022,2,3,33
JAYLIN WILLIAMS,Oklahoma City Thunder,Arkansas,2022,2,4,34
MAX CHRISTIE,Los Angeles Lakers,Michigan State,2022,2,5,35
GABRIELE PROCIDA,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6,36
JADEN HARDY,Sacramento Kings,Ignite (G League),2022,2,7,37
KENNEDY CHANDLER,San Antonio Spurs,Tennessee,2022,2,8,38
KHALIFA DIOP,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9,39
BRYCE MCGOWENS,Minnesota Timberwolves,Nebraska,2022,2,10,40
E.J. LIDDELL,New Orleans Pelicans,Ohio State,2022,2,11,41
TREVOR KEELS,New York Knicks,Duke,2022,2,12,42
MOUSSA DIABATÉ,LA Clippers,Michigan,2022,2,13,43
RYAN ROLLINS,Atlanta Hawks,Toledo,2022,2,14,44
JOSH MINOTT,Charlotte Hornets,Memphis,2022,2,15,45
ISMAEL KAMAGATE,Detroit Pistons,Paris (France),2022,2,16,46
VINCE WILLIAMS JR.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17,47
KENDALL BROWN,Minnesota Timberwolves,Baylor,2022,2,18,48
ISAIAH MOBLEY,Cleveland Cavaliers,Southern California,2022,2,19,49
MATTEO SPAGNOLO,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20,50
TYRESE MARTIN,Golden State Warriors,Connecticut,2022,2,21,51
KARLO MATKOVIĆ,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22,52
JD DAVISON,Boston Celtics,Alabama,2022,2,23,53
YANNICK NZOSA,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24,54
GUI SANTOS,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25,55
LUKE TRAVERS,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26,56
JABARI WALKER,Portland Trail Blazers,Colorado,2022,2,27,57
HUGO BESSON,Indiana Pacers,Breakers (New Zealand),2022,2,28,58
