PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
COOPER FLAGG,Dallas Mavericks,Duke,2025,1,1,1
DYLAN HARPER,San Antonio Spurs,Rutgers,2025,1,2,2
VJ EDGECOMBE,Philadelphia 76ers,Baylor,2025,1,3,3
KON KNUEPPEL,Charlotte Hornets,Duke,2025,1,4,4
ACE BAILEY,Utah Jazz,Rutgers,2025,1,5,5
TRE JOHNSON,Washington Wizards,Texas,2025,1,6,6
JEREMIAH FEARS,New Orleans Pelicans,Oklahoma,2025,1,7,7
EGOR DËMIN,Brooklyn Nets,Brigham Young,2025,1,8,8
COLLIN MURRAY-BOYLES,Toronto Raptors,South Carolina,2025,1,9,9
KHAMAN MALUACH,Houston Rockets,Duke,2025,1,10,10
CEDRIC COWARD,Portland Trail Blazers,Washington State,2025,1,11,11
NOA ESSENGUE,Chicago Bulls,Ratiopharm Ulm (Germany),2025,1,12,12
DERIK QUEEN,Atlanta Hawks,Maryland,2025,1,13,13
CARTER BRYANT,San Antonio Spurs,Arizona,2025,1,14,14
THOMAS SORBER,Oklahoma City Thunder,Georgetown,2025,1,15,15
YANG HANSEN,Memphis Grizzlies,Qingdao (China),2025,1,16,16
JOAN BERINGER,Minnesota Timberwolves,Cedevita Olimpija (Slovenia),2025,1,17,17
WALTER CLAYTON JR.,Washington Wizards,Florida,2025,1,18,18
NOLAN TRAORE,Brooklyn Nets,Saint-Quentin BB (France),2025,1,19,19
KASPARAS JAKUČIONIS,Miami Heat,Illinois,2025,1,20,20
WILL RILEY,Utah Jazz,Illinois,2025,1,21,21
DRAKE POWELL,Atlanta Hawks,North Carolina,2025,1,22,22
ASA NEWELL,New Orleans Pelicans,Georgia,2025,1,23,23
NIQUE CLIFFORD,Oklahoma City Thunder,Colorado State,2025,1,24,24
JASE RICHARDSON,Orlando Magic,Michigan State,2025,1,25,25
BEN SARAF,Brooklyn Nets,Ratiopharm Ulm (Germany),2025,1,26,26
DANNY WOLF,Brooklyn Nets,Michigan,2025,1,27,27
HUGO GONZÁLEZ,Boston Celtics,Real Madrid Baloncesto (Spain),2025,1,28,28
LIAM MCNEELEY,Phoenix Suns,Connecticut,2025,1,29,29
YANIC KONAN NIEDERHÄUSER,LA Clippers,Penn State,2025,1,30,30
RASHEER FLEMING,Minnesota Timberwolves,Saint Joseph's,2025,2,1,31
NOAH PENDA,Boston Celtics,Le Mans Sarthe Basket (France),2025,2,2,32
SION JAMES,Charlotte Hornets,Duke,2025,2,3,33
RYAN KALKBRENNER,Charlotte Hornets,Creighton,2025,2,4,34
JOHNI BROOME,Philadelphia 76ers,Auburn,2025,2,5,35
ADOU THIERO,Brooklyn Nets,Arkansas,2025,2,6,36
CHAZ LANIER,Detroit Pistons,Tennessee,2025,2,7,37
KAM JONES,San Antonio Spurs,Marquette,2025,2,8,38
ALIJAH MARTIN,Toronto Raptors,Florida,2025,2,9,39
MICAH PEAVY,Washington Wizards,Georgetown,2025,2,10,40
KOBY BREA,Golden State Warriors,Kentucky,2025,2,11,41
MAXIME RAYNAUD,Sacramento Kings,Stanford,2025,2,12,42
JAMIR WATKINS,Washington Wizards,Florida State,2025,2,13,43
BROOKS BARNHIZER,Oklahoma City Thunder,Northwestern,2025,2,14,44
ROCCO ZIKARSKY,Chicago Bulls,Brisbane (Australia),2025,2,15,45
AMARI WILLIAMS,Orlando Magic,Kentucky,2025,2,16,46
BOGOLJUB MARKOVIC,Milwaukee Bucks,KK Mega Leks (Serbia),2025,2,17,47
JAVON SMALL,Memphis Grizzlies,West Virginia,2025,2,18,48
TYRESE PROCTOR,Cleveland Cavaliers,Duke,2025,2,19,49
KOBE SANDERS,New York Knicks,Nevada-Reno,2025,2,20,50
MOHAMED DIAWARA,LA Clippers,Cholet Basket (France),2025,2,21,51
ALEX TOOHEY,Phoenix Suns,Sydney (Australia),2025,2,22,52
JOHN TONJE,Utah Jazz,Wisconsin,2025,2,23,53
TAELON PETER,Indiana Pacers,Liberty,2025,2,24,54
LACHLAN OLBRICH,Los Angeles Lakers,Illawarra (Australia),2025,2,25,55
WILL RICHARD,Memphis Grizzlies,Florida,2025,2,26,56
MAX SHULGA,Orlando Magic,Virginia Commonwealth,2025,2,27,57
SALIOU NIANG,Cleveland Cavaliers,Trento (Italy),2025,2,28,58
JAHMAI MASHACK,Houston Rockets,Tennessee,2025,2,29,59
