PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
ZION WILLIAMSON,New Orleans Pelicans,Duke,2019,1,1,1
JA MORANT,Memphis Grizzlies,Murray State,2019,1,2,2
RJ BARRETT,New York Knicks,Duke,2019,1,3,3
DE'ANDRE HUNTER,Los Angeles Lakers,Virginia,2019,1,4,4
DARIUS GARLAND,Cleveland Cavaliers,Vanderbilt,2019,1,5,5
JARRETT CULVER,Phoenix Suns,Texas Tech,2019,1,6,6
COBY WHITE,Chicago Bulls,North Carolina,2019,1,7,7
JAXSON HAYES,Atlanta Hawks,Texas,2019,1,8,8
RUI HACHIMURA,Washington Wizards,Gonzaga,2019,1,9,9
CAM REDDISH,Atlanta Hawks,Duke,2019,1,10,10
CAMERON JOHNSON,Minnesota Timberwolves,North Carolina,2019,1,11,11
P.J. WASHINGTON,Charlotte Hornets,Kentucky,2019,1,12,12
TYLER HERRO,Miami Heat,Kentucky,2019,1,13,13
ROMEO LANGFORD,Boston Celtics,Indiana,2019,1,14,14
SEKOU DOUMBOUYA,Detroit Pistons,Limoges CSP (France),2019,1,15,15
CHUMA OKEKE,Orlando Magic,Auburn,2019,1,16,16
NICKEIL ALEXANDER-WALKER,Brooklyn Nets,Virginia Tech,2019,1,17,17
GOGA BITADZE,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18,18
LUKA SAMANIC,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,19
MATISSE THYBULLE,Boston Celtics,Washington,2019,1,20,20
BRANDON CLARKE,Oklahoma City Thunder,Gonzaga,2019,1,21,21
GRANT WILLIAMS,Boston Celtics,Tennessee,2019,1,22,22
DARIUS BAZLEY,Utah Jazz,Princeton,2019,1,23,23
TY JEROME,Philadelphia 76ers,Virginia,2019,1,24,24
NASSIR LITTLE,Portland Trail Blazers,North Carolina,2019,1,25,25
DYLAN WINDLER,Cleveland Cavaliers,Belmont,2019,1,26,26
MFIONDU KABENGELE,Brooklyn Nets,Florida State,2019,1,27,27
JORDAN POOLE,Golden State Warriors,Michigan,2019,1,28,28
KELDON JOHNSON,San Antonio Spurs,Kentucky,2019,1,29,29
KEVIN PORTER JR.,Milwaukee Bucks,Southern California,2019,1,30,30
NIC CLAXTON,Brooklyn Nets,Georgia,2019,2,1,31
KZ OKPALA,Phoenix Suns,Stanford,2019,2,2,32
CARSEN EDWARDS,Philadelphia 76ers,Purdue,2019,2,3,33
BRUNO FERNANDO,Philadelphia 76ers,Maryland,2019,2,4,34
DIDI LOUZADA,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5,35
CODY MARTIN,Charlotte Hornets,North Carolina State,2019,2,6,36
DEIVIDAS SIRVYDIS,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7,37
DANIEL GAFFORD,Chicago Bulls,Arkansas,2019,2,8,38
ALEN SMAILAGIC,New Orleans Pelicans,Santa Cruz (G League),2019,2,9,39
JUSTIN JAMES,Sacramento Kings,Wyoming,2019,2,10,40
ERIC PASCHALL,Golden State Warriors,Villanova,2019,2,11,41
ADMIRAL SCHOFIELD,Philadelphia 76ers,Tennessee,2019,2,12,42
JAYLEN NOWELL,Minnesota Timberwolves,Washington,2019,2,13,43
BOL BOL,Miami Heat,Oregon,2019,2,14,44
ISAIAH ROBY,Detroit Pistons,Nebraska,2019,2,15,45
TALEN HORTON-TUCKER,Orlando Magic,Iowa State,2019,2,16,46
IGNAS BRAZDEIKIS,Sacramento Kings,Michigan,2019,2,17,47
TERANCE MANN,LA Clippers,Florida State,2019,2,18,48
QUINNDARY WEATHERSPOON,San Antonio Spurs,Mississippi State,2019,2,19,49
JARRELL BRANTLEY,Indiana Pacers,College of Charleston,2019,2,20,50
TREMONT WATERS,Boston Celtics,Louisiana State,2019,2,21,51
JALEN MCDANIELS,Charlotte Hornets,San Diego,2019,2,22,52
JUSTIN WRIGHT-FOREMAN,Utah Jazz,Hofstra,2019,2,23,53
MARIAL SHAYOK,Philadelphia 76ers,Virginia,2019,2,24,54
KYLE GUY,New York Knicks,Virginia,2019,2,25,55
JAYLEN HANDS,LA Clippers,California-Los Angeles,2019,2,26,56
JORDAN BONE,New Orleans Pelicans,Tennessee,2019,2,27,57
MIYE ONI,Golden State Warriors,Yale,2019,2,28,58
DEWAN HERNANDEZ,Toronto Raptors,Miami (FL),2019,2,29,59
VANJA MARINKOVIC,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60
