player_name,report_year,team_school,report_label,report_date,report_title,position,team_class,birthday,nationality,height,weight,wingspan,vertical,hand,stats_url,report_url,details_text
Precious Achiuwa,2020,Memphis,2020.12.23,2020-12-23,Outlook for the 2020 Draft Class: Picks 16-30,,,,,,,,,,,https://hoopsprospects.com/2020/12/23/outlook-for-the-2020-draft-class-picks-16-30/,"During the preseason, the Heat's Precious Achiuwa averaged 10.5 points and 8.5 rebounds, while shooting 69.2 percent from the floor. Team:  Memphis
Age:  21.3
Height:  6’8’’
Weight:  235
Wingspan:  7’1’’
Vertical:  
Last season, Achiuwa was an older freshman on a very young Memphis team that struggled with turnovers and shot selection.  He has a muscular build, good length, and nice agility for his size.  He is somewhat limited offensively, but he can defend multiple positions, and is an excellent rebounder.  He runs the floor very well, and is a great rip-and-run option.  His motor runs hot and cold, but at times, he can be a force all over the floor.
An All-AAC selection and the conference ROY, Achiuwa averaged 15.8 points, 10.8 rebounds (13th in DI), 1.1 steals, and 1.9 blocks per game, with shooting splits of .493/.325/.599.  He led the AAC in rebound percentage (18.6), and he finished in the top 10 of the conference for field-goal percentage, block percentage (6.4), PER (23.9), win shares (4.6), and BPM (5.8).  
Despite the lofty statistics, there are some concerns about Achiuwa’s game.  In terms of PPP, he ranked better than the 47th percentile in only two major offensive categories — put-backs (59th) and transition (61st).  He gets a share of his points via a Moses Malone-like method, missing the first shot, rebounding, and then scoring on the put-back.  He can finish with his left, but he rarely does so.  He doesn’t have the best touch with runners, but he uses that type of shot fairly often when around the basket.  He has an impressive handle and mobility for his size in the open floor, but when dribbling in tight spaces, he struggles with turnovers (2.8 per game).  As a shooter, his form doesn’t look bad, but he is not consistent from deep and struggles from the charity stripe.  

There are fewer concerns about Achiuwa’s ability to defend.  He has quick feet and has very little problem defending smaller players on the perimeter.  He can cover a lot of space as a help defender without getting burned often, and he defends without fouling.  He scrambles all over the floor at times, but then he has periods when he looks gassed and drained.  Also, despite having fantastic numbers for steals and blocks (3.9 combined per 40 minutes), he often plays with his hands down, missing opportunities to harass shooters and passers. "
Cole Anthony,2020,North Carolina,2020.12.19,2020-12-19,Outlook for the 2020 Draft Class: Picks 1-15,,,,,,,,,,,https://hoopsprospects.com/2020/12/19/outlook-for-the-2020-draft-class-picks-1-15/,"Cole Anthony (CG) Team : North Carolina Age : 20.6 Height : 6-3 Weight : 190 Wingspan : 6-5 Vertical : 43 inches (max) Last season, the Magic lacked perimeter players who could shoot and play defense. In terms of 3-point percentage and 3-point percentage allowed, the club ranked 25th and 23rd, respectively. Starting point guard Markelle Fultz made significant progress, but still made less than 27 percent of his attempts from deep, and backup D.J. Augustin left via free agency. Additionally, the short-term and long-term health of Jonathan Isaac are big concerns; not only does the team lack a proven and reliable backup behind him, but he is also arguably better suited to play at the four spot. I cannot argue with the selection of Anthony at No. 15. He has great potential, especially as a scorer. His freshman season was a mixed bag, and he was limited to 22 games due to injuries. He came to UNC with a reputation as an athletic and dynamic scorer as well as a tough rebounder and defender. He showed flashes of being all of those things, but he struggled mightily in certain areas. On the season, he averaged 18.5 points, 5.7 rebounds, 4.0 assists, and 1.3 steals per game, with shooting splits of .380/.348/.750. Anthony had a modest A/T ratio of 1.13 thanks to 3.5 turnovers per game. His PER of 18.6 was solid due to his overall productivity. I believe that Anthony’s poor field-goal percentage and modest overall PPP of 0.85 (46th percentile) had a lot to do with poor shot selection, and that, in turn, was likely partially due to playing for a subpar UNC team. He showed great ability to create his own shot and shoot off the bounce, and those things are reflected in his other PPP numbers — he ranked at the 92nd percentile as an isolation scorer and at the 72nd percentile as a jump shooter off the dribble. On the other hand, he really struggled around the basket, where he made only 33 percent of his shots, including runners/floaters. Anthony drew a lot of defensive attention in the paint, and his lack of length didn’t help him either. Anthony also showed that he might not be an ideal floor general. He’s a shoot-first point guard, and his vision, decision-making, and ball security all need to improve before he is handed the keys to run a pro offense. Similar things could be said about the youngster’s performance on the other end of the court. As an on-ball defender, he can be effective due to his athleticism, but his awareness and timing are lacking off the ball. "
Deni Avdija,2020,Maccabi FOX,2020.11.10,2020-11-10,Deni Avdija Scouting Report,Forward,Maccabi Tel Aviv,01/03/2001,Israeli,6-9,220,6-10,,Right,https://basketball.realgm.com/player/Deni-Avdija/Summary/116938,https://hoopsprospects.com/2020/11/10/deni-avdija-scouting-report/,"Avdija is one of the more versatile players in the 2020 draft class — he can do a little bit of everything, and he is a proven winner, helping Maccabi Tel Aviv win a championship in Israeli BSL this summer. He has size, is solidly built, and is a competitive athlete, with lots of skill and a high basketball IQ. He can play at either forward spot, and can be used in a variety of ways: spot-up shooter, cutter, point forward, and post scorer. Having good speed and quickness with the ball in his hands for his size, he can be effective off the bounce. The 19-year-old Israeli also has very good vision, is a nifty passer, and can play on either end of the pick and roll, as a handler or roller/popper. His biggest weakness is his off (left) hand, which hinders his ability to create shots and to finish around the basket at times. Playing against tough competition this season in both EuroLeague and the Israeli BSL, Avdija played 21.7 minutes per game, averaging 9.0 points, 4.7 rebounds, 2.0 assists, and 1.3 combined steals and blocks. His per-game numbers were not overly impressive due to the limited minutes, but his shooting splits (.505/.333/.588), PER (15.2), and assist-turnover ratio (1.27) were very respectable, especially when considering the level of competition. Avdija also ranked at the 66th percentile for combined assists and points per possession (PPP) among international players. Avdija posted better numbers in the IBSL, and he showed improvement as the season progressed. He averaged 12.9 points, 6.3 boards, 2.7 assists, and 1.9 combined steals and blocks per game, with shooting splits of .526/.353/.594. He not only won a league title, but was also named the IBSL MVP. In both leagues combined, about a third of Avdija’s possessions came via spot-up plays, and he ranked at the 50th percentile for PPP. More than half (56 percent) of his half-court shots were jumpers, and the majority of those were unguarded catch-and-shoot attempts (51st percentile). He fared worse on guarded catch-and-shoot (31st percentile) and off-the-dribble jumpers (22nd percentile). These shooting numbers may not look impressive, but we have to remember that they came against high-level pros. The 19-year-old’s mechanics look solid, he’s smooth on pull-ups, and his height helps him easily get off his shots. His free-throw stroke also appears to be solid, but he has made just 56 percent of his attempts as a pro. I specifically asked him about his free-throw woes as a pro during the NBA Combine media sessions, and the youngster said that he believes that his free-throw struggles are mental, and he vowed to improve. In addition to spot-ups this season, Avdija had a significant portion of his possessions come via transition (20%, 46th percentile), post-ups (10%, 49th percentile, including passes), cuts (10%, 91st percentile), handling in the pick and roll (9%, 84th percentile, including passes), and isolation (5%, 78th percentile, including passes). As you can see, he is indeed versatile, but he would even be more so if he would improve with his left hand. As of now, he rarely drives left, which may be due to a reluctance to finish with his left hand as much as his ability to dribble with his left. Also, the young Israeli doesn’t attack the rim often in general, and he doesn’t seek contact when he does; as a result, he draws fouls at a low rate (1.9 FTA per game). On the other end of the court, the news is mostly positive. As on offense, Avdija has versatility, and is capable defending inside and out (2 through 4). He posted a standard defensive rating of 95.6, which was the eighth best in the IBSL this season. He also ranked at the 60th percentile for PPP allowed among international players, and the only subcategory where he didn’t rank at least average was as a spot-up defender (39th percentile). Avdija moves well laterally, and does a nice job of getting through picks and holding his ground in the post. He can be a tad slow to react and rotate as a help defender, lacking some awareness. He generally closes out in a timely fashion, but shooters have success against him because he does not have elite length and vertical explosiveness to effectively hinder and block shots (1.0 per game). He also plays with good energy and effort; however, he could improve his conditioning because there are times when he runs out of gas and his defense suffers. Overall, there is little doubt that Avdija will be a lottery prospect, and he should have a solid NBA career. A number of rumors have linked him to the Golden State Warriors and the No. 2 overall selection. Personally, I think that would be a little high, and believe that it’s much more likely that he will be selected somewhere between fourth and seventh."
DeAndre Ayton,2018,Arizona,2018.05.21,2018-05-21,DeAndre Ayton Scouting Report,C/PF,Arizona (Fr.),07/23/98,Bahamas,7-1,250,7-5,43.5 inches,Right,https://basketball.realgm.com/player/DeAndre-Ayton/Summary/74086,http://hoopsprospects.com/2018/05/21/deandre-ayton-scouting-report/,"Often compared to Hall of Famer David Robinson, DeAndre Ayton is considered the favorite to be the first player selected in the 2018 NBA Draft, and with good reason. He had a terrific freshman season at Arizona, culminating with a host of honors, including Pac-12 Player of the Year, first-team All-American, and the Karl Malone Award. He became the first player in Pac-12 history to win Player of the Year, Freshman of the Year, and Tournament Most Outstanding Player in the same season. He averaged 20.1 points, 11.6 rebounds, and 1.9 blocks per game, while shooting 61.2 percent from the field, and he was only one of four players in the nation to average 20 or more points and 10 or more rebounds per game. He finished the year ranked among the top 10 in the NCAA (DI) for rebounds per game, defensive rebounds per game (8.2), putbacks (49), PER (30.6), and win shares (7.8), and he led the nation in double-doubles (24) and total floor impact (FIC of 660.9). While the comparisons to Robinson might be a bit of stretch, Ayton does have a very rare combination of size, power, agility, and shooting touch. He is a very muscular and broad-shouldered 19-year-old. He has eye-catching mobility and skill for a man his size. He is very effective from the low post, and has range out to the 3-point line. His soft hands, quick feet, length and strength make him nearly impossible to stop on lobs, cuts, and drives to the basket – around the basket this season (not including post-ups), he averaged 1.48 points per possession and ranked in the 96th percentile, and overall at the rim, he made an outstanding 82 percent of his shots. Twenty-nine percent of Ayton’s possessions this season came in the post, where he averaged an excellent 1.05 points per possession (90th percentile). He is not so much of a craftsman in the post, relying more on quickness, power, and shooting touch. He can score from either block, capable of turning in either direction or facing up and shooting. A lot of his success comes on quick dribble moves toward the basket, and he was especially effective with drop steps over the right shoulder this season, making 70% of his shots and averaging 1.42 points per possession. He will occasionally throw in a right-hand hook shot, but he is much more likely to shoot a jumper, most of which come off face-up moves, though some are turnaround fadeaways. Overall this past season, he made a solid 50% of his hook shots and 42% of his post jumpers. Due to his combination of size, strength, and mobility, Ayton is nearly impossible to defend by fronting, and he is excellent when flashing to the middle of the paint for various types of shots. When flashing to the middle of the post this past season, he averaged 1.61 points per possession (97th percentile). Doubling him in the post can also be futile because of his passing skills. Thirty-six of his 57 assists this season came from the post, and they produced 1.47 points per possession (89th percentile). A good portion of the rest of Ayton’s touches this season came as a cutter (22%) or from offensive rebounds (14%), and he was highly efficient in both areas. On cuts, he averaged 1.38 points per possession (85th percentile), and he was especially deadly when using baseline screens to free himself for alley-oops. As an offensive rebounder, he finished fourth in the nation with 49 putbacks, averaging 1.44 points per possession (93rd percentile). Even though Ayton was usually dominant down low this season, he took nearly as many jumpers outside the post (104) as he did shots in the post (117) or as a cutter (109). The high number of outside shots was partially due to him often playing alongside Dusan Ristic, a seven-foot center, who is also a very effective post scorer. However, Ayton is rather insistent on being a stretch four, so the high number of jumpers was also partially due to questionable shot selection. Inside the three-point line, Ayton made 39% of his jumpers. From beyond the arc, he made 35% of his shots (on 34 attempts). Overall, he made 38% of jumpers, averaging .87 points per possession and ranking at the 39th percentile. As you can see by the numbers, he is not a bad outside shooter, but his shot is a bit flat, and his mechanics could use some work. His defenders have to be thinking that they are getting a break when he settles for a jumper, and shooting from the outside naturally reduces Ayton’s chances to go to the free-throw line. As it was, he made it to the charity stripe 5.5 times per game, and converted on 73% of his attempts. Another area where Ayton did not excel this season was in the pick and roll, averaging .91 points per possession and ranking at the 36th percentile. Again, some of this was due to his teammates, and some was due to Ayton. This season, Arizona received sub-par play from the point guard position, and there were plenty of times when Wildcat guards failed to deliver the ball to Ayton in a timely fashion, if they delivered it at all. On the other hand, I believe that Ayton could have done a better job of moving without the ball in pick-and-roll situations. On rolls and slips, he averaged less than a point per possession, which was well below average. In pick-and-pop situations, he fared better making 37% of his shots and ranking at the 49th percentile. Despite all of the hype, Ayton is not unlike many other big men in certain areas. He is not adept at putting the ball on the floor and making plays from the perimeter. He attempted only one perimeter jumper off the bounce at Arizona. Also, he is not the fastest player up the floor, and less than six percent of his possessions came in transition, accounting for just 19 field goals. Ayton’s effectiveness as a defender is where he can improve the most. He lacks great defensive awareness and instincts. He is indecisive and/or makes poor decisions when switching and rotating, and he tends to get hung up on screens. He is a habitual ball watcher, and at times, he finds himself too far away to recover. He is also not an overly energetic or aggressive defender. He doesn’t come up with a lot of steals (.6 per game), and perhaps most importantly, he is not a dominant shot blocker. On the other hand, he generally does a good job of defending in space, one on one, even against guards. He is also capable of covering a vast amount of territory with his combination of length, vertical, and quickness. The statistics say that Ayton was a solid overall defender, limiting opponents to 36% shooting and .84 points per possession (60th percentile). However, the numbers also show that he performed below average when defending the pick and roll, shooters coming off screens, and in the post. At the same time, he did well when defending in spot-up and isolation situations. If you followed Arizona this season, you know that the biggest gripe concerning Ayton was his mediocrity as a shot blocker. With a 7-5 wingspan and a 44-inch vertical, averaging less than two blocks per game was unacceptable to many, especially on a team that struggled mightily to defend in the post. There is no doubt that he is not overly aggressive going after blocks, and even if he was aggressive, I am not certain that he has the instincts and timing to be a great shot blocker. Of course, we have to take into consideration how he was used at Arizona. With Ristic starting at center, Ayton spent a good portion of the season guarding the opponents’ “power forwards,” and as a result, he wasn’t used exclusively in the middle of the defense as a rim protector. One could certainly argue that he was misused on the defensive end, and one could also argue that his shot blocking numbers would have been higher had he played in the middle more often. However, when comparing Ayton to some of the other top big men in this draft, including some who played mostly at the four spot, he was not only challenged the most, but he also ranked below average in total blocks per shots attempted against him, standard block percentage, and blocks per 40 minutes (see table at bottom). In sum, Ayton has an NBA-ready body and a ton of potential. He is an outstanding rebounder and a willing passer. He is a very effective scorer around the basket, and shows promise as a midrange and 3-point shooter. In order to be special at the next level, he will need to refine his post game and be more consistent from the outside. If he is unable to do the latter, he will have to acknowledge that and focus on what he does best. Defensively, it is clear that most of his weaknesses are more mental than physical. These weaknesses mainly involve effort, awareness, instinct, and decision making, and some could be overcome by a dedicated player who is willing to be coached. With work, he certainly should make strides as a team defender. It is doubtful that he will play at the four spot as he did at Arizona; in this day and age, NBA teams are unlikely to put two 7-footers on the court at the same time, mainly for defensive reasons. And while Ayton generally held his own defending on the perimeter in college, I have doubts that he will be able to consistently do the same in the NBA. I also have doubts that he will ever be the rim protector that everyone expects, and if he can’t protect the rim and can’t defend on the perimeter, he will be a defensive liability. Of course, there are a number of bigs in the NBA who are not great defenders but are very successful mainly due to their scoring and rebounding (Kevin Love, Nikola Jokic, and so on), and at worst, Ayton will follow a similar path."
Udoka Azubuike,2020,Kansas,2020.12.23,2020-12-23,Outlook for the 2020 Draft Class: Picks 16-30,,,,,,,,,,,https://hoopsprospects.com/2020/12/23/outlook-for-the-2020-draft-class-picks-16-30/,"Udoka Azubuike (C) Team : Kansas Age : 21.3 Height : 6’11’’ Weight : 260 Wingspan : 7’7’’ Vertical : 34’’ standing, 38’’ max To be blunt, I didn’t understand this pick at all. The Jazz were knocked out of the playoffs, losing a hard-fought series with the Nuggets. Three things were fairly clear in that series: 1) Utah is not an elite defensive team on the perimeter (allowed Denver to make better than 42 percent from deep), 2) 33-year-old point guard Mike Conley’s best days are behind him, and 3) the team needs another elite scorer to help Donovan Mitchell. On the plus side, forward Bojan Bogdanovic will be returning from injury to help ease Mitchell’s scoring load. None of the three items listed above are related to the Jazz needing a center. The club just signed Rudy Gobert, a two-time Defensive Player of the Year, to a five-year, $205-million contract extension , and free agent Derrick Favors was added as a backup. Azubuike saw less than 20 minutes of action in the preseason, which supports the idea that the team doesn’t have a room for him in the rotation, and more importantly, even though he was a great college player, he projects to be nothing more than a backup in the NBA. Azubuike is a huge man, and has the game of an old-school center. A young senior, he finished off his career at Kansas in impressive fashion, being named the Big 12 POY and a Consensus All-America selection. He averaged 13.7 points, 10.5 rebounds (1st in the conference), and 2.6 blocks (2nd in the conference) per game. For the third straight season, he had a field-goal percentage greater than 70 percent, leading all of DI with a mark of 74.8, and finishing his career as the NCAA’s all-time career leader at 74.6 percent. He also finished this season ninth in DI with a PER of 31.3, ranked second in the nation with a BPM of 12.4, and ranked at the 97th percentile for points per possession. So, how does a player who makes three out of every four shots and averages more than 10 boards and two blocks per game project to be a backup at the next level? That’s today’s NBA, and Azubuike is likely destined to be a situational player. He is not light on his feet, and struggles to defend on the perimeter. He also offers nothing as a jump shooter. He took only three jumpers as a senior, all within 17 feet, making one, and he never attempted a three-pointer in his four years at Kansas. Also, he struggles mightily from the free-throw line despite working on his mechanics throughout his career — this past season, he shot a career high of 44.1 percent from the charity stripe."
Marvin Bagley,2018,Duke,2018.05.27,2018-05-27,Marvin Bagley Scouting Report,PF/C,Duke (Fr.),03/14/99,United States,6-11,234,7-1,,Left,https://basketball.realgm.com/player/Marvin-Bagley-III/Summary/81676,http://hoopsprospects.com/2018/05/27/marvin-bagley-scouting-report/,"Barely 19 years old, Marvin Bagley is one of the youngest prospects on our draft board, and after a stellar freshman season at Duke, he is likely to be one of the first five selections in the 2018 NBA Draft. One year ago, he was finishing up his junior year at high school, and he probably didn’t expect to be sitting where he is today. At the time, he was regarded as the consensus No. 1 recruit in the high school class of 2018. However, last summer, he was able to do additional class work and meet all of the academic requirements to graduate in August, which allowed him to reclassify to the 2017 class and earn acceptance at Duke. In his one season with the Blue Devils, Bagley earned a host of honors and compiled some very impressive stats. He was just the third player in ACC history to lead the conference in scoring, rebounding, and shooting percentage in a season, averaging 21.0 points and 11.1 rebounds per game while shooting 61.4 percent from the field. He was only one of four players in NCAA (DI) to average better than 20 points and 10 rebounds per game this season. He led the nation in putbacks with 57, and he finished among the top ten in both offensive (4.0) and total rebounds per game. He also finished in the top ten for PER (28.3), floor impact (total FIC of 594.1), and win shares (7.0). He topped off the season with a number of honors, including first-team All-American, ACC Player of the Year, and ACC Rookie of the year, and he became just the second player in ACC history to win the latter two awards in the same season. Of all of the prospects in this year’s draft class, Bagley probably has the best combination of height and athleticism, with his incredible jumping ability standing out the most. He was not tested at the NBA Combine, but I would estimate that he has a standing and max vertical of at least 34 inches and 40 inches, respectively. He truly explodes off the floor, even from a standing position, and he can go up multiple times in a row in the blink of an eye. His ability to jump, combined with his length, gives him a huge catch radius for grabbing lobs and rebounds. It also allows him to finish around the rim rather efficiently and emphatically. This past season, he made 77 percent of his shots at the rim, a number of which were in posterizing fashion. Bagley has a lot of versatility as a scorer. He is a lefty, who can dominate in the paint and make an occasional 3. He is fast up and down the court, and is terrific as a rim runner and a finisher. He can put the ball on the floor, and drive in either direction. He has a quick first step, and can go from the foul line to the rim with one stride. He is effective using spins, Eurosteps, and jump stops off the bounce, and he even has a midrange hop shot in his bag of tricks. On the downside, he is very dependent on his left hand when finishing around the rim, and though it did not hurt him at college, it is something he will want to work on at the next level. Bagley scored in a variety of ways this past season, but ultimately, the vast majority of his shots (83%) came from within eight feet of the basket. Offensive rebounds alone accounted for 18% of his shots. Another 18% came as a cutter, and he averaged 1.43 points per possession (90th percentile) on those shots. He scored on drives from the perimeter and on rolls to the basket, and he was also dangerous in transition, averaging 1.14 points per possession (67th percentile), and leading all big men in this draft class with 38 fast-break buckets (see table on right). Post-up situations accounted for the highest percentage of Bagley’s touches (24%) this season, and overall, he was effective, averaging .95 points per possession, and ranking at the 78th percentile. However, his post game is somewhat limited at this point in time, as he relies a great deal on his ability to attack the basket. On the low block, he is somewhat predictable, preferring to turn to his right, and relying a lot on left-hand hooks – shots that he didn’t make with great consistency (45%) this season. Bagley’s ability to make plays away from the basket is one of the aspects of his game that sets him apart from most other bigs in this class. Fellow big men usually cannot match his athleticism on the perimeter, and he fared well in isolation, spot-up, and pick-and-roll situations this season, showing the ability to both go to the basket and shoot from the outside. In spot-up and isolation situations combined, he averaged nearly a point per possession and made 46 percent of his shots. In the pick and roll, he averaged 1.5 points per possession and ranked at the 97th percentile. In all of these situations, most of his points came from shots attempted while going to the basket, as opposed to jumpers. However, he did show a lot of promise as a jump shooter on his limited attempts, displaying solid shooting mechanics, making more than 37 percent of his shots, and averaging 1.07 points per possession (77th percentile). From beyond the arc, he was especially effective, making 19 of 46 attempts (41%). With most of his shots coming around the basket, many of which were off aggressive drives, Bagley went to the free-throw line on 19 percent of his possessions. He averaged 6.3 free-throw attempts per game, which ranked 52nd in the country. Unfortunately, he was not overly consistent at the charity stripe, converting on just 63 percent of his attempts. Obviously, this is an area where he needs to improve. Two other areas where Bagley can improve are ball security and passing. He averaged a respectable 1.5 assists per game, but his efficiency was below average as a passer. For example, in post-up situations, his passes produced 1.03 points per possession, which ranked at the 45th percentile. At the same time, he averaged 2.3 turnovers per game, and he was especially prone to turning the ball over in isolation situations. Bagley’s most glaring negative stat is that he averaged less than one blocked shot per game (.9). For someone with his height, quickness, and vertical, at lease two blocks per game is expected. Of course, we have to take into consideration that Duke played a lot of zone this season, and Bagley usually didn’t play in the middle of that zone. Between November and January, when the Blue Devils were not exclusively a zone team, he had seven games with at least two blocks, but from February forward, he had just two such games. Even so, less than one block per game is still a big concern. Part of the problem is that he doesn’t have a tremendous wingspan. He also doesn’t display the best timing and awareness to make use of his ability to get off the floor. Bagley gives good effort on the defensive end, and his overall defensive numbers were very solid. In man and zone combined, he limited opponents to .79 points per possession (74th percentile) and a field-goal percentage of 31.6. When playing man, he did his best work in the post, ranking in the 96th percentile, though his opportunities were very limited. He had some trouble as a man-to-man defender when guarding perimeter shooters who were either spotting up or catching and shooting off screens. In such cases, he typically failed to stay connected with the shooters, off the ball, and that could be attributed far more to a lack of experience and poor decisions than to his physical ability to defend. He also struggled to produce turnovers (.8 steals per game), which, like shot blocking, can be attributed to a combination of a short wingspan, poor timing, and a lack of awareness. Over the last year, Bagley has taken a lot of heat. He’s been called selfish and a player without a position. There were also rumors about friction between him and the Duke coaching staff. I have observed that he can be testy at times, but not in a way that appears to affect his team. I do believe that he must work on taking better care of the ball and being a more willing passer, but I do not see these as being critical issues. I have never questioned his effort and hustle, and that is a far bigger issue to me. As for him being a positionless player, I think that is a bunch of nonsense. In the modern NBA, Bagley will be asked to play some at the five spot, and his inability to block shots will undoubtedly be an issue. However, there are plenty of players who currently spend a lot of time at the five spot who don’t block a lot of shots (Blake Griffin, Kevin Love, and so on), and they do just fine. Guys such as Griffin and Love also spend a fair amount of time playing at the four spot, alongside rim protectors, and there is no reason that Bagley cannot do the same. At a minimum, he certainly has the athleticism to more than adequately defend on the perimeter, which is typically why big men loose minutes. In all probability, Bagley will not be an elite NBA defender, but as an offensive player, he has a great deal of potential. We already know that he can run and jump, score around the rim, and rebound at a high level. How much success he has as a pro will likely be determined by how much he can expand his offensive game, mainly from the perimeter. His success this past season from beyond the arc is encouraging, but it’s only a small sample, and his struggles from the free-throw line do curb the enthusiasm. It’s highly unlikely that he’ll ever be a great ball handler in a Kevin Durant-like way, but Bagley does show the ability to put the ball on the floor. The next step would be to develop a midrange game that involved making some shots off the bounce. It also would be a plus if he further developed his post-up game. In sum, I believe on just his athleticism alone, he will be a solid performer, and if he expands his game, he should be headed for greatness. "
LaMelo Ball,2020,Illawarra,2020.12.14,2020-12-14,LaMelo Ball Scouting Report,PG,Hawks (Australian NBL),08/22/2001,American,6’7”,181 pounds,6’8’’,,Right,https://basketball.realgm.com/player/LaMelo-Ball/Summary/103892,https://hoopsprospects.com/2020/12/14/lamelo-ball-scouting-report/,"LaMelo Ball was the most recognizable name in the entire draft class, without a shadow of a doubt. He achieved his pop-culture stardom with his family and the Big Baller Brand. He never played in the NCAA. Instead, Ball forged a circuitous path to the top of his draft class, most recently by way of the National Basketball League (NBL) in Australia. He is as polarizing a prospect as he is popular on social media, and he is now a member of the Hornets. Ball has been in the spotlight since a young age, and sometimes lost in the chaos of his fame are the rare qualities that he possesses as a prospect. A 6-foot-7 lead guard, his passing creativity can only be described as something akin to wizardry. Ball’s best-case outcome represents the most uncommon of archetypes — Luka Doncic, James Harden, and Damian Lillard. Ball has the potential to occupy the rarified air of other top offensive centerpieces who operate as pick-and-roll playmaking engines that produce efficient offense on a consistent basis, and elevate the play of any teammate in their orbit. This profile, at the highest order, is nearly unattainable and reserved for those select few who ascend into NBA royalty. LaMelo has a colossal task ahead to achieve his full potential. It is not his birthright to become a superstar, but his physical profile and preordained basketball gifts will give him the opportunity. On the other hand, Ball has to achieve an extraordinary amount of improvement on the defensive end of the basketball floor and as a jump-shooter. Should he fail to progress in these categories, he will not reach his lofty potential. There is a floor for Ball as a second-unit offensive organizer akin to the career path of Shaun Livingston. Livingston was a successful and very respected NBA veteran, but the Charlotte organization is expecting far more than that. It will be fascinating to observe how Head Coach James Borrego will prescribe lineups and rotations. Ball brings size to a smallish Charlotte backcourt. Will Borrego be bold enough to experiment with lineups that include Ball, Devonte’ Graham, and Terry Rozier? Based on what we have seen so far in training camp and the preseason, it seems as though Ball will play with the Hornets’ second unit, behind Graham and Rozier. Charlotte had a desperate need for playmaking chops off the bench last season, and Ball should bring that in spades. In his first preseason game against the Toronto Raptors, he posted four assists in 17 minutes of play. His creativity as a passer was on full display, and although he must improve as a shooter and defender, the magic of his facilitation is already evident. In the NBL last season, Ball played 31.3 minutes per game, averaging 17.2 points, 7.9 rebounds, 6.8 assists, 1.5 steals, and 2.5 turnovers. He had an impressive assist-turnover ratio of 2.67 and player efficiency rating of 18.3. His numbers were very impressive for a 19-year-old who was shouldered with constant playmaking responsibility at the professional level. His nearly 3-to-1 A/T ratio bodes well for Ball’s ability to evolve into the ideal playmaker in the future, and illustrates the distinctive vision that he possesses. However, it is important to note that he played in just 12 NBL games plus one NBL Blitz game (a preseason tournament). Ball has terrific size to go along with his transcendent passing feel. His combination of height and tight handle gives him the ideal physical profile for the potential of NBA stardom. Simply put, it’s rare to see his particular cocktail of physical dimensions and skill. The question remains: will the Chino Hills native be a consistent triple threat at the next level as he matures? In the NBL, Ball produced a mixed bag of offensive results. The young standout was steady in pick-and-roll action (PNR), which accounted for 32.5 percent of his offensive diet. As a PNR handler, he averaged 0.884 points per possession (PPP), which was at the 71st percentile for international players. If Ball can enter the NBA as a satisfactory PNR practitioner, this would accelerate his development and ultimate value. In transition, Ball has the ability to be an ideal weapon. He has great end-to-end speed with the ball in his hands, can thread the needle from long distances while on the move (with either hand), and has outstanding vision and creativity as a passer. Unfortunately, his efficiency in transition was poor in the NBL. He ranked at the 39th percentile for combined assists and points per possession, with a turnover rate of 30 percent. In short, he tried to do too much in these situations. Ball also has a long way to go to be considered an efficient half-court scorer. His NBL shooting splits were far from ideal (.389/.279/.700). He displays excellent ability to create space for his shots and has a quick release on his jumpers, but he struggles due to inconsistent mechanics and poor shot selection (6.6 three-point attempts per game). In terms of PPP, he was much better when catching and shooting (69th percentile) than shooting off the bounce (34th percentile). Additionally, Ball is not an elite finisher in the half court, which is due, at least in part, to a lack of strength and modest vertical pop. Around the basket in the half-court last season, Ball ranked at the 34th percentile for PPP; he did, however, show a great deal of promise with runners and floaters, ranking at the 70th percentile. The Hornets will likely be happy if Ball is a serviceable defender as a rookie; it was debatable if he was even that in the NBL. To illustrate these points, the lanky point guard was abysmal defending the PNR action. In 37 possessions, he allowed 1.541 PPP while his opponents shot 67 percent from the field. Overall, he made numerous rookie mistakes as both a team and one-on-one defender, displaying poor awareness and effort at times. Ball brings star power and unique talent to the Hornets, but his shortcomings may be further exposed against the best players on the planet. The 19-year-old must undertake the laborious task of evolving as a shooter at the NBA level, which is only achieved via repetition and thousands of jumpers when no one is watching. Defensive improvement takes effort and coaching; Ball possesses the frame to become a league-average defender, and will have to unearth the inner drive to achieve that standing. "
