PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
VICTOR WEMBANYAMA,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1
BRANDON MILLER,Charlotte Hornets,Alabama,2023,1,2,2
SCOOT HENDERSON,Portland Trail Blazers,Ignite (G League),2023,1,3,3
AMEN THOMPSON,Houston Rockets,Overtime Elite,2023,1,4,4
AUSAR THOMPSON,Detroit Pistons,Overtime Elite,2023,1,5,5
ANTHONY BLACK,Orlando Magic,Arkansas,2023,1,6,6
BILAL COULIBALY,Indiana Pacers,Metropolitans 92 (France),2023,1,7,7
JARACE WALKER,Washington Wizards,Houston,2023,1,8,8
TAYLOR HENDRICKS,Utah Jazz,Central Florida,2023,1,9,9
CASON WALLACE,Dallas Mavericks,Kentucky,2023,1,10,10
JETT HOWARD,Orlando Magic,Michigan,2023,1,11,11
DERECK LIVELY II,Oklahoma City Thunder,Duke,2023,1,12,12
GRADEY DICK,Toronto Raptors,Kansas,2023,1,13,13
JORDAN HAWKINS,New Orleans Pelicans,Connecticut,2023,1,14,14
KOBE BUFKIN,Atlanta Hawks,Michigan,2023,1,15,15
KEYONTE GEORGE,Utah Jazz,Baylor,2023,1,16,16
JALEN HOOD-SCHIFINO,Los Angeles Lakers,Indiana,2023,1,17,17
JAIME JAQUEZ JR.,Miami Heat,California-Los Angeles,2023,1,18,18
BRANDIN PODZIEMSKI,Golden State Warriors,Santa Clara,2023,1,19,19
CAM WHITMORE,Houston Rockets,Villanova,2023,1,20,20
NOAH CLOWNEY,Brooklyn Nets,Alabama,2023,1,21,21
DARIQ WHITEHEAD,Brooklyn Nets,Duke,2023,1,22,22
KRIS MURRAY,Portland Trail Blazers,Iowa,2023,1,23,23
OLIVIER-MAXENCE PROSPER,Sacramento Kings,Marquette,2023,1,24,24
MARCUS SASSER,Memphis Grizzlies,Houston,2023,1,25,25
BEN SHEPPARD,Indiana Pacers,Belmont,2023,1,26,26
NICK SMITH JR.,Charlotte Hornets,Arkansas,2023,1,27,27
BRICE SENSABAUGH,Utah Jazz,Ohio State,2023,1,28,28
JULIAN STRAWTHER,Indiana Pacers,Gonzaga,2023,1,29,29
KOBE BROWN,LA Clippers,Missouri,2023,1,30,30
JAMES NNAJI,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31
JALEN PICKETT,Indiana Pacers,Penn State,2023,2,2,32
LEONARD MILLER,San Antonio Spurs,Ignite (G League),2023,2,3,33
COLBY JONES,Charlotte Hornets,Xavier,2023,2,4,34
JULIAN PHILLIPS,Boston Celtics,Tennessee,2023,2,5,35
ANDRE JACKSON JR.,Orlando Magic,Connecticut,2023,2,6,36
HUNTER TYSON,Oklahoma City Thunder,Clemson,2023,2,7,37
JORDAN WALSH,Sacramento Kings,Arkansas,2023,2,8,38
MOUHAMED GUEYE,Charlotte Hornets,Washington State,2023,2,9,39
MAXWELL LEWIS,Denver Nuggets,Pepperdine,2023,2,10,40
AMARI BAILEY,Charlotte Hornets,California-Los Angeles,2023,2,11,41
TRISTAN VUKCEVIC,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42
RAYAN RUPERT,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43
SIDY CISSOKO,San Antonio Spurs,Ignite (G League),2023,2,14,44
GG JACKSON,Memphis Grizzlies,South Carolina,2023,2,15,45
SETH LUNDY,Atlanta Hawks,Penn State,2023,2,16,46
MOJAVE KING,Los Angeles Lakers,Ignite (G League),2023,2,17,47
JORDAN MILLER,LA Clippers,Miami (FL),2023,2,18,48
EMONI BATES,Cleveland Cavaliers,Eastern Michigan,2023,2,19,49
KEYONTAE JOHNSON,Oklahoma City Thunder,Kansas State,2023,2,20,50
JALEN WILSON,Brooklyn Nets,Kansas,2023,2,21,51
TOUMANI CAMARA,Phoenix Suns,Dayton,2023,2,22,52
JAYLEN CLARK,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53
JALEN SLAWSON,Sacramento Kings,Furman,2023,2,24,54
ISAIAH WONG,Indiana Pacers,Miami (FL),2023,2,25,55
TARIK BIBEROVIC,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56
TRAYCE JACKSON-DAVIS,Washington Wizards,Indiana,2023,2,27,57
CHRIS LIVINGSTON,Milwaukee Bucks,Kentucky,2023,2,28,58
