PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
ZACCHARIE RISACHER,Atlanta Hawks,JL Bourg (France),2024,1,1,1
ALEX SARR,Washington Wizards,Perth Wildcats (Australia),2024,1,2,2
REED SHEPPARD,Houston Rockets,Kentucky,2024,1,3,3
STEPHON CASTLE,San Antonio Spurs,Connecticut,2024,1,4,4
RONALD HOLLAND II,Detroit Pistons,Ignite (G League),2024,1,5,5
TIDJANE SALAÜN,Charlotte Hornets,Cholet Basket (France),2024,1,6,6
DONOVAN CLINGAN,Portland Trail Blazers,Connecticut,2024,1,7,7
ROB DILLINGHAM,San Antonio Spurs,Kentucky,2024,1,8,8
ZACH EDEY,Memphis Grizzlies,Purdue,2024,1,9,9
CODY WILLIAMS,Utah Jazz,Colorado,2024,1,10,10
MATAS BUZELIS,Chicago Bulls,Ignite (G League),2024,1,11,11
NIKOLA TOPIĆ,Oklahoma City Thunder,KK Crvena zvezda (Serbia),2024,1,12,12
DEVIN CARTER,Sacramento Kings,Providence,2024,1,13,13
BUB CARRINGTON,Portland Trail Blazers,Pittsburgh,2024,1,14,14
KEL'EL WARE,Miami Heat,Indiana,2024,1,15,15
JARED MCCAIN,Philadelphia 76ers,Duke,2024,1,16,16
DALTON KNECHT,Los Angeles Lakers,Tennessee,2024,1,17,17
TRISTAN DA SILVA,Orlando Magic,Colorado,2024,1,18,18
JA'KOBE WALTER,Toronto Raptors,Baylor,2024,1,19,19
JAYLON TYSON,Cleveland Cavaliers,California,2024,1,20,20
YVES MISSI,New Orleans Pelicans,Baylor,2024,1,21,21
DARON HOLMES II,Phoenix Suns,Dayton,2024,1,22,22
AJ JOHNSON,Milwaukee Bucks,Illawarra (Australia),2024,1,23,23
KYSHAWN GEORGE,New York Knicks,Miami (FL),2024,1,24,24
PACÔME DADIET,New York Knicks,Ratiopharm Ulm (Germany),2024,1,25,25
DILLON JONES,Washington Wizards,Weber State,2024,1,26,26
TERRENCE SHANNON JR.,Minnesota Timberwolves,Illinois,2024,1,27,27
RYAN DUNN,Denver Nuggets,Virginia,2024,1,28,28
ISAIAH COLLIER,Utah Jazz,Southern California,2024,1,29,29
BAYLOR SCHEIERMAN,Boston Celtics,Creighton,2024,1,30,30
JONATHAN MOGBO,Toronto Raptors,San Francisco,2024,2,1,31
KYLE FILIPOWSKI,Utah Jazz,Duke,2024,2,2,32
TYLER SMITH,Milwaukee Bucks,Ignite (G League),2024,2,3,33
TYLER KOLEK,Portland Trail Blazers,Marquette,2024,2,4,34
JOHNNY FURPHY,San Antonio Spurs,Kansas,2024,2,5,35
JUAN NUNEZ,Indiana Pacers,Ratiopharm Ulm (Germany),2024,2,6,36
BOBI KLINTMAN,Minnesota Timberwolves,Cairns Taipans (Australia),2024,2,7,37
AJAY MITCHELL,New York Knicks,California-Santa Barbara,2024,2,8,38
JAYLEN WELLS,Memphis Grizzlies,Washington State,2024,2,9,39
OSO IGHODARO,Portland Trail Blazers,Marquette,2024,2,10,40
ADEM BONA,Philadelphia 76ers,California-Los Angeles,2024,2,11,41
KJ SIMPSON,Charlotte Hornets,Colorado,2024,2,12,42
NIKOLA DJURISIC,Miami Heat,KK Mega Leks (Serbia),2024,2,13,43
PELLE LARSSON,Houston Rockets,Arizona,2024,2,14,44
JAMAL SHEAD,Sacramento Kings,Houston,2024,2,15,45
CAM CHRISTIE,LA Clippers,Minnesota,2024,2,16,46
ANTONIO REEVES,Orlando Magic,Kentucky,2024,2,17,47
HARRISON INGRAM,San Antonio Spurs,North Carolina,2024,2,18,48
TRISTEN NEWTON,Indiana Pacers,Connecticut,2024,2,19,49
ENRIQUE FREEMAN,Indiana Pacers,Akron,2024,2,20,50
MELVIN AJINCA,New York Knicks,Saint-Quentin BB (France),2024,2,21,51
QUINTEN POST,Golden State Warriors,Boston College,2024,2,22,52
CAM SPENCER,Detroit Pistons,Connecticut,2024,2,23,53
ANTON WATSON,Boston Celtics,Gonzaga,2024,2,24,54
BRONNY JAMES,Los Angeles Lakers,Southern California,2024,2,25,55
KEVIN MCCULLAR JR.,Phoenix Suns,Kansas,2024,2,26,56
ULRICH CHOMCHE,Memphis Grizzlies,APR BBC (Rwanda),2024,2,27,57
ARIEL HUKPORTI,Dallas Mavericks,MHP Riesen (Germany),2024,2,28,58
